Faculty ID,Official name,Follow-up flags
jason-j-gauci,Jason J Gauci,profile_url_not_connected; research_source_not_connected
ahmed-gheith,Ahmed Gheith,profile_url_not_connected; research_source_not_connected
nicole-v-giorgi,Nicole V Giorgi,research_source_not_connected
feliciano-giustino,Feliciano Giustino,research_source_not_connected
paul-goldbart,Paul Goldbart,profile_url_not_connected; research_source_not_connected
antonio-gonzalez-iii,Antonio Gonzalez III,profile_url_not_connected; research_source_not_connected
ellen-bernadine-gouws,Ellen Bernadine Gouws,research_source_not_connected
ashley-green,Ashley Green,profile_url_not_connected; research_source_not_connected
robert-joseph-griffitt,Robert Joseph Griffitt,profile_url_not_connected; research_source_not_connected
layla-guyot,Layla Guyot,research_source_not_connected
amanda-hager,Amanda Hager,research_source_not_connected
monica-renay-hall-porter,Monica Renay Hall-Porter,research_source_not_connected
ryan-hannigan,Ryan Hannigan,profile_url_not_connected; research_source_not_connected
anne-k-hansen,Anne K Hansen,profile_url_not_connected; research_source_not_connected
debra-r-hansen,Debra R Hansen,research_source_not_connected
christine-ramsey-hardy,Christine Ramsey Hardy,profile_url_not_connected; research_source_not_connected
shinko-k-harper,Shinko K Harper,research_source_not_connected
justin-w-hart,Justin W Hart,research_source_not_connected
aleah-henderson-carter,Aleah Henderson-Carter,research_source_not_connected
thushani-herath,Thushani Herath,research_source_not_connected
madison-herring,Madison Herring,profile_url_not_connected; research_source_not_connected
matthew-a-hersh,Matthew A Hersh,research_source_not_connected
gary-j-hill,Gary J Hill,profile_url_not_connected; research_source_not_connected
andrew-d-hintz,Andrew D Hintz,profile_url_not_connected; research_source_not_connected
jo-anne-c-holley,Jo Anne C Holley,research_source_not_connected
tepera-r-holman,Tepera R Holman,profile_url_not_connected; research_source_not_connected
kyong-joo-hong,Kyong Joo Hong,profile_url_not_connected; research_source_not_connected
mackenzie-a-howard,Mackenzie A Howard,profile_url_not_connected; research_source_not_connected
warren-a-hunt-jr,Warren A Hunt Jr,profile_url_not_connected; research_source_not_connected
marina-e-hutchins,Marina E Hutchins,profile_url_not_connected; research_source_not_connected
elizabeth-ilardi,Elizabeth Ilardi,research_source_not_connected
andrei-ionov,Andrei Ionov,profile_url_not_connected; research_source_not_connected
matteo-ippoliti,Matteo Ippoliti,research_source_not_connected
ibrahim-volkan-isler,Ibrahim Volkan Isler,profile_url_not_connected; research_source_not_connected
robert-k-jansen,Robert K Jansen,profile_url_not_connected; research_source_not_connected
frank-siegfried-jenko,Frank Siegfried Jenko,profile_url_not_connected; research_source_not_connected
becca-johnson,Becca Johnson,research_source_not_connected
giovanni-johnson,Giovanni Johnson,research_source_not_connected
stacy-jorgensen,Stacy Jorgensen,profile_url_not_connected; research_source_not_connected
prashant-d-joshi,Prashant D Joshi,profile_url_not_connected; research_source_not_connected
erez-karpas,Erez Karpas,profile_url_not_connected; research_source_not_connected
amrita-kaur,Amrita Kaur,research_source_not_connected
kenneth-c-keiler,Kenneth C Keiler,profile_url_not_connected; research_source_not_connected
hyunju-kim,Hyunju Kim,research_source_not_connected
brad-knox,Brad Knox,profile_url_not_connected; research_source_not_connected
terry-m-kotrla,Terry M Kotrla,profile_url_not_connected; research_source_not_connected
philipp-kraehenbuehl,Philipp Kraehenbuehl,profile_url_not_connected; research_source_not_connected
rostyslav-kravchenko,Rostyslav Kravchenko,research_source_not_connected
william-werner-kretschmer,William Werner Kretschmer,profile_url_not_connected; research_source_not_connected
gregory-kuhlmann,Gregory Kuhlmann,profile_url_not_connected; research_source_not_connected
devdatta-kulkarni,Devdatta Kulkarni,profile_url_not_connected; research_source_not_connected
paul-d-kunz,Paul D Kunz,research_source_not_connected
brian-la-cour,Brian La Cour,research_source_not_connected
elizabeth-a-labate,Elizabeth A Labate,profile_url_not_connected; research_source_not_connected
cynthia-a-labrake,Cynthia A Labrake,research_source_not_connected
matt-ladue,Matt LaDue,profile_url_not_connected; research_source_not_connected
zehua-lai,Zehua Lai,profile_url_not_connected; research_source_not_connected
karen-m-landolt,Karen M Landolt,research_source_not_connected
anita-g-latham,Anita G Latham,research_source_not_connected
lyndsay-logan-leach,Lyndsay Logan Leach,research_source_not_connected
elad-liebman,Elad Liebman,profile_url_not_connected; research_source_not_connected
randy-linder,Randy Linder,profile_url_not_connected; research_source_not_connected
jianlong-liu,Jianlong Liu,profile_url_not_connected; research_source_not_connected
hector-e-lomeli,Hector E Lomeli,research_source_not_connected
jaime-lopez,Jaime Lopez,profile_url_not_connected; research_source_not_connected
andrew-j-loveridge,Andrew J Loveridge,research_source_not_connected
kaijun-lu,Kaijun Lu,profile_url_not_connected; research_source_not_connected
lydia-rose-lucchesi,Lydia Rose Lucchesi,profile_url_not_connected; research_source_not_connected
martha-m-maas,Martha M Maas,research_source_not_connected
alex-macedo,Alex Macedo,profile_url_not_connected; research_source_not_connected
theresa-n-martines,Theresa N Martines,research_source_not_connected
lucas-mason-brown,Lucas Mason-Brown,profile_url_not_connected; research_source_not_connected
gene-d-mcdonald,Gene D McDonald,research_source_not_connected
kay-mcmurry,Kay McMurry,research_source_not_connected
michael-b-mcphail,Michael B McPhail,research_source_not_connected
john-c-meth,John C Meth,research_source_not_connected
pedro-metola,Pedro Metola,research_source_not_connected
thomas-r-middendorf,Thomas R Middendorf,profile_url_not_connected; research_source_not_connected
melissa-miller,Melissa Miller,research_source_not_connected
charles-d-mills,Charles D Mills,research_source_not_connected
zachary-l-miner,Zachary L Miner,research_source_not_connected
lauren-a-mitchell,Lauren A Mitchell,research_source_not_connected
shyamal-k-mitra,Shyamal K Mitra,profile_url_not_connected; research_source_not_connected
michael-h-montgomery,Michael H Montgomery,profile_url_not_connected; research_source_not_connected
jennifer-moon,Jennifer Moon,profile_url_not_connected; research_source_not_connected
raymond-j-mooney,Raymond J Mooney,profile_url_not_connected; research_source_not_connected
maud-trist-morgan,Maud Trist Morgan,research_source_not_connected
dana-hadar-moshkovitz-aaronson,Dana Hadar Moshkovitz aaronson,profile_url_not_connected; research_source_not_connected
amy-r-musgrave,Amy R Musgrave,profile_url_not_connected; research_source_not_connected
felicity-muth,Felicity Muth,profile_url_not_connected; research_source_not_connected
margaret-elaine-myers,Margaret Elaine Myers,profile_url_not_connected; research_source_not_connected
mit-naik,Mit Naik,research_source_not_connected
ross-michael-neuman,Ross Michael Neuman,research_source_not_connected
scott-david-niekum,Scott David Niekum,profile_url_not_connected; research_source_not_connected
seth-james-nielson,Seth James Nielson,profile_url_not_connected; research_source_not_connected
alison-n-norman,Alison N Norman,profile_url_not_connected; research_source_not_connected
john-michael-osborn,John Michael Osborn,research_source_not_connected
joaquin-marcos-palacios,Joaquin Marcos Palacios,research_source_not_connected
devangi-nikunj-parikh,Devangi Nikunj Parikh,research_source_not_connected
mary-r-parker,Mary R Parker,research_source_not_connected
mychelle-parker,Mychelle Parker,research_source_not_connected
lara-l-pauley,Lara L Pauley,research_source_not_connected
amy-pavel,Amy Pavel,profile_url_not_connected; research_source_not_connected
georgios-pavlakos,Georgios Pavlakos,research_source_not_connected
gergina-v-pencheva,Gergina V Pencheva,research_source_not_connected
tina-l-peterson,Tina L Peterson,profile_url_not_connected; research_source_not_connected
c-greg-plaxton,C Greg Plaxton,profile_url_not_connected; research_source_not_connected
elizabeth-a-porter,Elizabeth A Porter,research_source_not_connected
mary-f-poteet,Mary F Poteet,research_source_not_connected
william-h-press,William H Press,profile_url_not_connected; research_source_not_connected
kristen-j-procko,Kristen J Procko,research_source_not_connected
lili-qiu,Lili Qiu,profile_url_not_connected; research_source_not_connected
michelann-quimby,Michelann Quimby,profile_url_not_connected; research_source_not_connected
sally-kathleen-amen-ragsdale,Sally Kathleen Amen Ragsdale,research_source_not_connected
vijaya-ramachandran,Vijaya Ramachandran,profile_url_not_connected; research_source_not_connected
carol-ramsey,Carol Ramsey,profile_url_not_connected; research_source_not_connected
mary-e-ramsey,Mary E Ramsey,research_source_not_connected
veena-ravishankar,Veena Ravishankar,profile_url_not_connected; research_source_not_connected
nicole-reed,Nicole Reed,profile_url_not_connected; research_source_not_connected
stuart-a-reichler,Stuart A Reichler,profile_url_not_connected; research_source_not_connected
kristi-a-reid-partin,Kristi A Reid-Partin,research_source_not_connected
nicolas-reyes,Nicolas Reyes,research_source_not_connected
